"family","source","rank_in_source","model_name","status","r2","mse","rmse","feature_count","code_lines","generated_notebook","generated_notebook_exists","executed_notebook","executed_notebook_exists","log_file","source_csv"
"chat_12","live_results_gpt","1","Claude Sonnet 4.6 Max Reasoning","ok","0.704348","0.233276",,"","","","False","","False","C:\Users\Administrator\Documents\jane-street-real-time-market-data-forecasting\results_gpt\claude_sonnet_jane_street.log","C:\Users\Administrator\Documents\jane-street-real-time-market-data-forecasting\results_gpt\agent_leaderboard.csv"
"chat_12","live_results_gpt","2","Qwen 3.5 (Chat)","ok","0.094435","0.597766",,"","","","False","","False","C:\Users\Administrator\Documents\jane-street-real-time-market-data-forecasting\results_gpt\qwen_3_5_jane_street.log","C:\Users\Administrator\Documents\jane-street-real-time-market-data-forecasting\results_gpt\agent_leaderboard.csv"
"chat_12","live_results_gpt","3","Claude Opus (Thinking Model)","ok","0.015766","0.582785",,"","","","False","","False","C:\Users\Administrator\Documents\jane-street-real-time-market-data-forecasting\results_gpt\claude_opus_thinking_jane_street.log","C:\Users\Administrator\Documents\jane-street-real-time-market-data-forecasting\results_gpt\agent_leaderboard.csv"
"chat_12","live_results_gpt","4","Kimi 2.5 Agent","ok","0.007303","0.980088",,"","","","False","","False","C:\Users\Administrator\Documents\jane-street-real-time-market-data-forecasting\results_gpt\kimi2.5_jane_street.log","C:\Users\Administrator\Documents\jane-street-real-time-market-data-forecasting\results_gpt\agent_leaderboard.csv"
"chat_12","live_results_gpt","5","GLM-5 Turbo (Chat)","ok","0.007303","0.980088",,"","","","False","","False","C:\Users\Administrator\Documents\jane-street-real-time-market-data-forecasting\results_gpt\glm5_turbo_jane_street.log","C:\Users\Administrator\Documents\jane-street-real-time-market-data-forecasting\results_gpt\agent_leaderboard.csv"
"chat_12","live_results_gpt","6","DeepSeek-R1 (Chat)","ok","0.001992","0.985331",,"","","","False","","False","C:\Users\Administrator\Documents\jane-street-real-time-market-data-forecasting\results_gpt\deepseek_r1_jane_street.log","C:\Users\Administrator\Documents\jane-street-real-time-market-data-forecasting\results_gpt\agent_leaderboard.csv"
"chat_12","live_results_gpt","7","GPT 5.4 Extra High Code","ok","0.000163","0.603041",,"","","","False","","False","C:\Users\Administrator\Documents\jane-street-real-time-market-data-forecasting\results_gpt\gpt_5_4_xh_jane_street.log","C:\Users\Administrator\Documents\jane-street-real-time-market-data-forecasting\results_gpt\agent_leaderboard.csv"
"chat_12","live_results_gpt","8","GPT 5.3 Extra High Codex","ok","0.0001","0.603079",,"","","","False","","False","C:\Users\Administrator\Documents\jane-street-real-time-market-data-forecasting\results_gpt\gpt_5_3_codex_jane_street.log","C:\Users\Administrator\Documents\jane-street-real-time-market-data-forecasting\results_gpt\agent_leaderboard.csv"
"chat_12","live_results_gpt","9","GPT 5.2 Extra High Codex","ok","-9.8E-05","0.603198",,"","","","False","","False","C:\Users\Administrator\Documents\jane-street-real-time-market-data-forecasting\results_gpt\gpt_5_2_jane_street.log","C:\Users\Administrator\Documents\jane-street-real-time-market-data-forecasting\results_gpt\agent_leaderboard.csv"
"chat_12","live_results_gpt","10","Gemini 3 Flash","ok","-0.000625","0.637542",,"","","","False","","False","C:\Users\Administrator\Documents\jane-street-real-time-market-data-forecasting\results_gpt\gemini_3_flash_jane_street.log","C:\Users\Administrator\Documents\jane-street-real-time-market-data-forecasting\results_gpt\agent_leaderboard.csv"
"chat_12","live_results_gpt","11","Gemini 3.1 Pro (Low)","ok","-0.000625","0.637542",,"","","","False","","False","C:\Users\Administrator\Documents\jane-street-real-time-market-data-forecasting\results_gpt\gemini_3_1_pro_low_jane_street.log","C:\Users\Administrator\Documents\jane-street-real-time-market-data-forecasting\results_gpt\agent_leaderboard.csv"
"chat_12","live_results_gpt","12","Gemini 3.1 Pro","ok","-0.000625","0.637542",,"","","","False","","False","C:\Users\Administrator\Documents\jane-street-real-time-market-data-forecasting\results_gpt\gemini_3_1_pro_jane_street.log","C:\Users\Administrator\Documents\jane-street-real-time-market-data-forecasting\results_gpt\agent_leaderboard.csv"
"huggingface","archived_platforms","9","meta_llama_Llama_3_1_8B_Instruct","OK","-0.003065","0.790381","0.889034","80","31","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\huggingface\generated_notebooks\meta_llama_Llama_3_1_8B_Instruct.ipynb","True","","False","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
