Model Name,Publisher,Type,Primary Use Case,Downloads,Description
ai-generated-image-detection,Hive,Downloadable,image classification,13.73K,Robust image classification model for detecting and managing AI-generated content.
alphafold2,DeepMind,Downloadable,nim,275,Predicts the 3D structure of a protein from its amino acid sequence.
alphafold2-multimer,DeepMind,Downloadable,nim,136,Predicts the 3D structure of a protein from its amino acid sequence.
audio2face-3d,NVIDIA,Downloadable,Digital Humans,,Converts streamed audio to facial blendshapes for realtime lipsyncing and facial performances.
Background Noise Removal,NVIDIA,Downloadable,Nvidia Maxine,360,Removes unwanted noises from audio improving speech intelligibility.
baichuan2-13b-chat,Baichuan AI,Free Endpoint,Chinese Language Generation,587K,Support Chinese and English chat, coding, math, instruction following.
bevformer,NVIDIA,Free Endpoint,autonomous vehicles,98,Advanced transformer for multi-frame bird's-eye-view 3D perception in autonomous driving.
bge-m3,BAAI,Downloadable,Embeddings,1.77M,Embedding model for text retrieval tasks excelling in dense, multi-vector, and sparse retrieval.
bielik-11b-v2.6-instruct,Speakleash,Free Endpoint,Polish,583K,State-of-the-art model for Polish language processing tasks such as text generation, Q&A, and chatbots.
Boltz-2,MIT,Downloadable,nim,140K,Predict complex structures using Boltz-2.
breeze-7b-instruct,MediaTek,Free Endpoint,Chat,580K,LLM for improved language comprehension and chatbot-oriented capabilities in Traditional Chinese.
cached,University at Buffalo,Free Endpoint,nemo retriever,703,Context-aware chart extraction that can detect 18 classes for chart basic elements.
canary-1b-asr,NVIDIA,Downloadable,Automatic Speech Recognition,5.48K,Multi-lingual model supporting speech-to-text recognition and translation.
chatglm3-6b,THUDM,Free Endpoint,Text Translation,620K,"Supports Chinese and English languages to handle tasks including chatbot, content generation, coding, and translation."
colosseum_355b_instruct_16k,Igenius,Free Endpoint,Heavy industry,81.31K,Multilingual LLM designed for mission critical use cases in regulated industries.
corrdiff,NVIDIA,Downloadable,AI Weather prediction,803,Generative downscaling model for generating high resolution regional scale weather fields.
cosmos-nemotron-34b,NVIDIA,Free Endpoint,VLM,8,Multi-modal vision-language model that understands text/img/video.
cosmos-predict1-5b,NVIDIA,Free Endpoint,Synthetic Data Generation,29.45K,Generates future frames of a physics-aware world state based on an image or short video prompt.
cosmos-reason1-7b,NVIDIA,Downloadable,video understanding,13.01K,Reasoning vision language model (VLM) for physical AI and robotics.
cosmos-reason2-8b,NVIDIA,Downloadable,video understanding,225K,Vision language model that excels in understanding the physical world using structured reasoning.
cosmos-transfer1-7b,NVIDIA,Free Endpoint,Synthetic Data Generation,12.92K,Generates physics-aware video world states for physical AI development.
cosmos-transfer2.5-2b,NVIDIA,Free Endpoint,Synthetic Data Generation,,Generates physics-aware video world states for physical AI development.
cuopt,NVIDIA,Downloadable,Route Optimization,1.61K,World-record accuracy and performance for complex route optimization.
deepfake-image-detection,Hive,Downloadable,computer vision,3.54K,Advanced AI model detects faces and identifies deep fake images.
deepseek-r1-distill-llama-8b,DeepSeek AI,Downloadable,Distillation,5.02M,Distilled version of Llama 3.1 8B using reasoning data generated by DeepSeek R1.
deepseek-r1-distill-qwen-14b,DeepSeek AI,Downloadable,coding,4.66M,Distilled version of Qwen 2.5 14B using reasoning data generated by DeepSeek R1.
deepseek-r1-distill-qwen-32b,DeepSeek AI,Downloadable,coding,5.13M,Distilled version of Qwen 2.5 32B using reasoning data generated by DeepSeek R1.
deepseek-r1-distill-qwen-7b,DeepSeek AI,Downloadable,coding,4.96M,Distilled version of Qwen 2.5 7B using reasoning data generated by DeepSeek R1.
deepseek-v3.1,DeepSeek AI,Free Endpoint,Reasoning,12.65M,DeepSeek V3.1 Instruct is a hybrid AI model with fast reasoning, 128K context, and strong tool use.
deepseek-v3.1-terminus,DeepSeek AI,Free Endpoint,tool calling,12.62M,"DeepSeek-V3.1: hybrid inference LLM with Think/Non-Think modes, stronger agents, 128K context."
deepseek-v3.2,DeepSeek AI,Free Endpoint,long context,15.45M,"State-of-the-art 685B reasoning LLM with sparse attention, long context, and integrated agentic tools."
devstral-2-123b-instruct-2512,Mistral AI,Free Endpoint,coding,6.06M,"State-of-the-art open code model with deep reasoning, 256k context."
diffdock,MIT,Downloadable,Chemistry,11.58K,Predicts the 3D structure of how a molecule interacts with a protein.
dracarys-llama-3.1-70b-instruct,Abacus.AI,Free Endpoint,Code Generation,630K,"Fine-tuned Llama 3.1 70B model for code generation, summarization, and multi-language tasks."
esm2-650m,Meta,Free Endpoint,nim,182K,Generates embeddings of proteins from their amino acid sequences.
esmfold,Meta,Free Endpoint,biology,384K,Predicts the 3D structure of a protein from its amino acid sequence.
eurollm-9b-instruct,Utter-project,Downloadable,Sovereign AI,532K,State-of-the-art multilingual model tailored to all 24 official European Union languages.
evo2-40b,Arc,Downloadable,DNA Generation,109K,Biological foundation model that integrates information over long genomic sequences.
eyecontact,NVIDIA,Downloadable,telepresence,1.23K,Estimate gaze angles of a person in a video and redirect to make it frontal.
falcon3-7b-instruct,Tiiuae,Free Endpoint,Coding,1.83M,"Instruction tuned LLM achieving SoTA performance on reasoning, math and general knowledge."
FLUX.1-dev,Black-forest-labs,Downloadable,Text-to-Image,98.83K,FLUX.1 is a state-of-the-art suite of image generation models.
FLUX.1-Kontext-dev,Black-forest-labs,Downloadable,Text-to-Image,3.69K,Multimodal model that enables in-context image generation and editing.
FLUX.1-schnell,Black-forest-labs,Downloadable,Text-to-Image,51.21K,Distilled image generation model producing high quality images at fast speeds.
flux.2-klein-4b,Black-forest-labs,Downloadable,Text-to-Image,3.78K,FLUX.2-klein-4B is a distilled image generation and editing model producing outputs at lighting speed.
fourcastnet,NVIDIA,Downloadable,Weather Simulation,976,FourCastNet predicts global atmospheric dynamics of various weather / climate variables.
gemma-2-27b-it,Google,Free Endpoint,Chat,760K,"Cutting-edge text generation model for text understanding, transformation, and code generation."
gemma-2-2b-it,Google,Free Endpoint,Chat,562K,Advanced small language generative AI model for edge applications.
gemma-2-9b-cpt-sahabatai-instruct,Gotocompany,Downloadable,Sovereign AI,533K,SOTA LLM pre-trained for instruction following and proficiency in Indonesian language.
gemma-2-9b-it,Google,Downloadable,chat,4.69M,"Cutting-edge text generation model for text understanding, transformation, and code generation."
gemma-3-1b-it,Google,Downloadable,Translation,547K,"A lightweight, multilingual, advanced SLM text model for edge computing."
gemma-3-27b-it,Google,Free Endpoint,Vision Assistant,5.29M,Cutting-edge open multimodal model exceling in high-quality reasoning from images.
gemma-3n-e2b-it,Google,Free Endpoint,language generation,697K,An edge computing AI model which accepts text, audio and image input.
gemma-3n-e4b-it,Google,Free Endpoint,language generation,735K,An edge computing AI model which accepts text, audio and image input.
gemma-7b,Google,Free Endpoint,Chat,570K,"Cutting-edge text generation model for text understanding, transformation, and code generation."
genmol,NVIDIA,Downloadable,Chemistry,2.21K,Fragment-Based Molecular Generation by Discrete Diffusion.
gliner-pii,NVIDIA,Free Endpoint,PII Detection,148K,GLiNER PII detects Personally Identifiable Information in text.
glm-4.7,Z.ai,Free Endpoint,Tool Calling,15.7M,"Multilingual agentic coding partner with stronger reasoning, tool use, and UI skills."
glm-5,Z.ai,Downloadable,MoE,10.65M,GLM-5 744B MoE enables efficient reasoning for complex systems and long-horizon agentic tasks.
gpt-oss-120b,OpenAI,Downloadable,reasoning,37.62M,Mixture of Experts (MoE) reasoning LLM (text-only) designed to fit within 80GB GPU.
gpt-oss-20b,OpenAI,Downloadable,reasoning,8.36M,Smaller Mixture of Experts (MoE) text-only LLM for efficient AI reasoning and math.
granite-3.3-8b-instruct,IBM,Free Endpoint,coding,179K,"Small language model fine-tuned for improved reasoning, coding, and instruction-following."
granite-guardian-3.0-8b,IBM,Free Endpoint,Guardrail,495K,"Detects jailbreaking, bias, violence, profanity, sexual content, and unethical behavior."
italia_10b_instruct_16k,Igenius,Free Endpoint,Heavy industry,533K,Multilingual LLM with emphasis on European languages supporting regulated use cases.
jamba-1.5-mini-instruct,AI21 Labs,Free Endpoint,Chat,572K,Cutting-edge MOE based LLM designed to excel in a wide array of generative AI tasks.
kimi-k2-instruct,Moonshotai,Free Endpoint,coding,16.67M,"State-of-the-art open mixture-of-experts model with strong reasoning, coding, and agentic capabilities."
kimi-k2-instruct-0905,Moonshotai,Free Endpoint,long-context,8.94M,Follow-on version of Kimi-K2-Instruct with longer context window and enhanced reasoning.
kimi-k2-thinking,Moonshotai,Free Endpoint,Conversational,2.92M,"Open reasoning model with 256K context window, native INT4 quantization and enhanced tool use."
kimi-k2.5,Moonshotai,Downloadable,Multimodal,20.31M,1T multimodal MoE for high-capacity video and image understanding with efficient inference.
llama-3-swallow-70b-instruct-v0.1,TokyoTech-LLM,Downloadable,Large Language Model,539K,Sovereign AI model trained on Japanese language that understands regional nuances.
llama-3-taiwan-70b-instruct,Yen-Ting Lin,Downloadable,regional language generation,541K,Sovereign AI model finetuned on Traditional Mandarin and English data.
llama-3.1-405b-instruct,Meta,Downloadable,synthetic data generation,3.12M,"Advanced LLM for synthetic data generation, distillation, and inference."
llama-3.1-70b-instruct,Meta,Downloadable,Chat,7.97M,"Powers complex conversations with superior contextual understanding, reasoning and text generation."
llama-3.1-8b-instruct,Meta,Downloadable,Chat,5.5M,"Advanced state-of-the-art model with language understanding, superior reasoning, and text generation."
llama-3.1-nemoguard-8b-content-safety,NVIDIA,Downloadable,nemo guardrails,565K,Leading content safety model for enhancing the safety and moderation capabilities of LLMs.
llama-3.1-nemoguard-8b-topic-control,NVIDIA,Downloadable,nemo guardrails,517K,Topic control model to keep conversations focused on approved topics.
llama-3.1-nemotron-70b-reward,NVIDIA,Free Endpoint,Text-to-text,440K,Leaderboard topping reward model supporting RLHF for better alignment with human preferences.
llama-3.1-nemotron-nano-4b-v1.1,NVIDIA,Downloadable,edge,139K,"State-of-the-art open model for reasoning, code, math, and tool calling - suitable for edge agents."
llama-3.1-nemotron-nano-8b-v1,NVIDIA,Downloadable,math,620K,Leading reasoning and agentic AI accuracy model for PC and edge.
