rank,platform,model,status,mse,rmse,r2,feature_count,code_lines,has_feature_engineering,has_xgboost,has_polars,source_notebook,error
1,nvidia,mistralai_mistral-7b-instruct-v0.3,OK,0.78611,0.886628,0.002356,80,15,True,True,True,platforms\nvidia\generated_notebooks\mistralai_mistral-7b-instruct-v0.3.ipynb,
2,nvidia,yentinglin_llama-3-taiwan-70b-instruct,OK,0.786624,0.886918,0.001704,80,22,True,True,True,platforms\nvidia\generated_notebooks\yentinglin_llama-3-taiwan-70b-instruct.ipynb,
3,ollama,nemotron_3_nano_30b,OK,0.786884,0.887065,0.001373,80,34,True,True,True,platforms\ollama\generated_notebooks\nemotron_3_nano_30b.ipynb,
4,nvidia,nvidia_nemotron-4-mini-hindi-4b-instruct,OK,0.787319,0.88731,0.000821,80,38,True,True,True,platforms\nvidia\generated_notebooks\nvidia_nemotron-4-mini-hindi-4b-instruct.ipynb,
5,nvidia,moonshotai_kimi-k2-instruct,OK,0.789284,0.888417,-0.001673,80,36,True,True,True,platforms\nvidia\generated_notebooks\moonshotai_kimi-k2-instruct.ipynb,
6,nvidia,institute-of-science-tokyo_llama-3.1-swallow-8b-instruct-v0.1,OK,0.790381,0.889034,-0.003065,80,20,True,True,True,platforms\nvidia\generated_notebooks\institute-of-science-tokyo_llama-3.1-swallow-8b-instruct-v0.1.ipynb,
7,ollama,kimi_k2_thinking,OK,0.790381,0.889034,-0.003065,80,23,True,True,True,platforms\ollama\generated_notebooks\kimi_k2_thinking.ipynb,
8,ollama,mistral_large_3_675b,OK,0.790381,0.889034,-0.003065,80,42,True,True,True,platforms\ollama\generated_notebooks\mistral_large_3_675b.ipynb,
9,huggingface,meta_llama_Llama_3_1_8B_Instruct,OK,0.790381,0.889034,-0.003065,80,31,True,True,True,platforms\huggingface\generated_notebooks\meta_llama_Llama_3_1_8B_Instruct.ipynb,
10,nvidia,moonshotai_kimi-k2-instruct-0905,OK,0.792461,0.890203,-0.005705,80,35,True,True,True,platforms\nvidia\generated_notebooks\moonshotai_kimi-k2-instruct-0905.ipynb,
11,nvidia,igenius_italia_10b_instruct_16k,OK,0.79395,0.891039,-0.007594,80,11,True,True,True,platforms\nvidia\generated_notebooks\igenius_italia_10b_instruct_16k.ipynb,
12,nvidia,meta_llama3-8b-instruct,OK,0.79395,0.891039,-0.007594,80,8,True,True,True,platforms\nvidia\generated_notebooks\meta_llama3-8b-instruct.ipynb,
13,nvidia,microsoft_phi-3-medium-128k-instruct,OK,0.79395,0.891039,-0.007594,79,61,True,True,True,platforms\nvidia\generated_notebooks\microsoft_phi-3-medium-128k-instruct.ipynb,
14,nvidia,rakuten_rakutenai-7b-instruct,OK,0.79395,0.891039,-0.007594,79,3,False,False,True,platforms\nvidia\generated_notebooks\rakuten_rakutenai-7b-instruct.ipynb,
15,nvidia,speakleash_bielik-11b-v2.3-instruct,OK,0.79395,0.891039,-0.007594,79,49,True,True,True,platforms\nvidia\generated_notebooks\speakleash_bielik-11b-v2.3-instruct.ipynb,
16,nvidia,mistralai_mistral-large-3-675b-instruct-2512,OK,0.794958,0.891604,-0.008874,80,40,True,True,True,platforms\nvidia\generated_notebooks\mistralai_mistral-large-3-675b-instruct-2512.ipynb,
17,ollama,ministral_3_14b,OK,0.794958,0.891604,-0.008874,80,64,True,True,True,platforms\ollama\generated_notebooks\ministral_3_14b.ipynb,
18,ollama,ministral_3_8b,OK,0.794958,0.891604,-0.008874,80,52,True,True,True,platforms\ollama\generated_notebooks\ministral_3_8b.ipynb,
19,nvidia,qwen_qwen2.5-7b-instruct,OK,0.796279,0.892345,-0.01055,80,25,True,True,True,platforms\nvidia\generated_notebooks\qwen_qwen2.5-7b-instruct.ipynb,
20,nvidia,qwen_qwen3-next-80b-a3b-instruct,OK,0.796279,0.892345,-0.01055,80,54,True,True,True,platforms\nvidia\generated_notebooks\qwen_qwen3-next-80b-a3b-instruct.ipynb,
21,nvidia,abacusai_dracarys-llama-3.1-70b-instruct,OK,0.796385,0.892404,-0.010685,80,18,True,True,True,platforms\nvidia\generated_notebooks\abacusai_dracarys-llama-3.1-70b-instruct.ipynb,
22,nvidia,baichuan-inc_baichuan2-13b-chat,OK,0.796385,0.892404,-0.010685,80,43,True,True,True,platforms\nvidia\generated_notebooks\baichuan-inc_baichuan2-13b-chat.ipynb,
23,nvidia,gotocompany_gemma-2-9b-cpt-sahabatai-instruct,OK,0.796385,0.892404,-0.010685,80,13,True,True,True,platforms\nvidia\generated_notebooks\gotocompany_gemma-2-9b-cpt-sahabatai-instruct.ipynb,
24,nvidia,institute-of-science-tokyo_llama-3.1-swallow-70b-instruct-v0.1,OK,0.796385,0.892404,-0.010685,80,37,True,True,True,platforms\nvidia\generated_notebooks\institute-of-science-tokyo_llama-3.1-swallow-70b-instruct-v0.1.ipynb,
25,nvidia,marin_marin-8b-instruct,OK,0.796385,0.892404,-0.010685,80,42,True,True,True,platforms\nvidia\generated_notebooks\marin_marin-8b-instruct.ipynb,
26,nvidia,mediatek_breeze-7b-instruct,OK,0.796385,0.892404,-0.010685,80,29,True,True,True,platforms\nvidia\generated_notebooks\mediatek_breeze-7b-instruct.ipynb,
27,nvidia,meta_llama-3.1-405b-instruct,OK,0.796385,0.892404,-0.010685,80,29,True,True,True,platforms\nvidia\generated_notebooks\meta_llama-3.1-405b-instruct.ipynb,
28,nvidia,meta_llama-3.1-70b-instruct,OK,0.796385,0.892404,-0.010685,80,22,True,True,True,platforms\nvidia\generated_notebooks\meta_llama-3.1-70b-instruct.ipynb,
29,nvidia,meta_llama-3.3-70b-instruct,OK,0.796385,0.892404,-0.010685,80,28,True,True,True,platforms\nvidia\generated_notebooks\meta_llama-3.3-70b-instruct.ipynb,
30,nvidia,meta_llama-4-maverick-17b-128e-instruct,OK,0.796385,0.892404,-0.010685,80,33,True,True,True,platforms\nvidia\generated_notebooks\meta_llama-4-maverick-17b-128e-instruct.ipynb,
31,nvidia,meta_llama3-70b-instruct,OK,0.796385,0.892404,-0.010685,80,20,True,True,True,platforms\nvidia\generated_notebooks\meta_llama3-70b-instruct.ipynb,
32,nvidia,microsoft_phi-3-medium-4k-instruct,OK,0.796385,0.892404,-0.010685,80,40,True,True,True,platforms\nvidia\generated_notebooks\microsoft_phi-3-medium-4k-instruct.ipynb,
33,nvidia,microsoft_phi-3-mini-128k-instruct,OK,0.796385,0.892404,-0.010685,80,51,True,True,True,platforms\nvidia\generated_notebooks\microsoft_phi-3-mini-128k-instruct.ipynb,
34,nvidia,microsoft_phi-3-mini-4k-instruct,OK,0.796385,0.892404,-0.010685,80,43,True,True,True,platforms\nvidia\generated_notebooks\microsoft_phi-3-mini-4k-instruct.ipynb,
35,nvidia,microsoft_phi-3-small-128k-instruct,OK,0.796385,0.892404,-0.010685,80,32,True,True,True,platforms\nvidia\generated_notebooks\microsoft_phi-3-small-128k-instruct.ipynb,
36,nvidia,microsoft_phi-3.5-mini-instruct,OK,0.796385,0.892404,-0.010685,80,35,True,True,True,platforms\nvidia\generated_notebooks\microsoft_phi-3.5-mini-instruct.ipynb,
